"Month","Year","Week_day","Type_day","Casualties","Num_vehicles","Lanes","Road_width","Lane_width","Hard_shoulder","Paved_hard_shoulder","Security_barriers","Aditional_panels","Edge_landmarks","Reflectors","Surface","Luminosity","Atmosferic_factors","Limited_visibility","Danger_signs","Crash_type","Traffic","Conc_distraction","Conc_alcohol_durgs","Conc_speed","Conc_tyred_sleepy_ill","Conc_weather"
"Mar",2006,6,"Pre_holiday",1,1,2,"Less_6m","Less_325m","None","Y","N","N","N","N","Wet","Artificial_not_enough","Heavy_rain","N","Yes","Collision","Light","N","N","N","N","Y"
"Mar",2006,6,"Pre_holiday",1,1,2,"More_7m","325m_to_375m","None","Y","Y","Y","N","N","Wet","No_light","Heavy_rain","N","No","Collision","Light","N","N","N","Y","N"
"Mar",2006,7,"Holiday",1,1,2,"6m_to_7m","325m_to_375m","Less_150m","Y","Y","Y","Y","Y","Wet","No_light","Light_rain","Y","No","Collision","Light","N","N","N","Y","N"
"Mar",2006,7,"Holiday",1,1,2,"More_7m","More_375m","None","N","N","N","N","N","Wet","Daylight","Light_rain","Y","Not_needed","Off_the_road","Light","N","N","N","N","N"
"Mar",2006,7,"Holiday",3,2,3,"More_7m","325m_to_375m","None","Y","Y","Y","Y","Y","Wet","Artificial_enough","Light_rain","Y","Not_needed","Collision","Light","Y","N","N","N","N"
"Mar",2006,7,"Holiday",4,3,2,"6m_to_7m","325m_to_375m","Less_150m","Y","N","Y","Y","N","Wet","Daylight","Light_rain","Y","Yes","Collision","Light","N","N","Y","N","Y"
"Mar",2006,7,"Holiday",1,1,2,"More_7m","325m_to_375m","Less_150m","Y","N","N","N","Y","Wet","Daylight","Light_rain","N","Yes","Off_the_road","Light","N","N","N","N","N"
"Mar",2006,2,"Work_day",1,1,2,"More_7m","325m_to_375m","Less_150m","Y","Y","N","N","N","Dry","Daylight","Clear","Y","No","Other","Light","N","N","N","N","N"
"Mar",2006,5,"Work_day",1,1,2,"6m_to_7m","325m_to_375m","Less_150m","Y","N","Y","Y","Y","Dry","Daylight","Clear","N","Yes","Collision","Light","N","N","N","N","N"
"Mar",2006,6,"Pre_holiday",1,2,2,"6m_to_7m","325m_to_375m","Less_150m","Y","N","N","Y","N","Dry","No_light","Clear","N","Yes","Ped_run_over","Light","N","N","N","N","N"
"Mar",2006,6,"Pre_holiday",5,2,2,"More_7m","325m_to_375m","None","N","N","N","N","N","Dry","Daylight","Clear","Y","No","Collision","Light","N","N","N","N","N"
"Mar",2006,7,"Holiday",3,2,2,"6m_to_7m","325m_to_375m","None","N","N","N","N","N","Dry","Dusk","Clear","Y","Yes","Collision","Light","Y","N","N","N","N"
"Mar",2006,1,"Post_holiday",9,4,2,"More_7m","325m_to_375m","Less_150m","Y","N","N","Y","Y","Dry","Daylight","Clear","Y","No","Collision","Heavy","N","N","Y","N","N"
"Mar",2006,1,"Post_holiday",2,2,2,"6m_to_7m","325m_to_375m","Less_150m","Y","N","N","N","N","Dry","Daylight","Clear","Y","Yes","Collision","Light","N","N","N","N","N"
"Mar",2006,2,"Work_day",4,2,2,"More_7m","325m_to_375m","Less_150m","Y","N","N","Y","Y","Wet","Daylight","Light_rain","Y","Not_needed","Collision","Light","Y","N","Y","N","Y"
"Mar",2006,2,"Work_day",2,1,2,"More_7m","More_375m","Less_150m","Y","Y","Y","Y","Y","Dry","Daylight","Clear","Y","Not_needed","Ped_run_over","Light","N","N","N","N","N"
"Mar",2006,2,"Work_day",3,2,2,"6m_to_7m","325m_to_375m","None","Y","N","Y","N","N","Dry","Daylight","Clear","Y","Yes","Other","Light","N","N","N","N","N"
"Mar",2006,6,"Pre_holiday",2,2,3,"More_7m","325m_to_375m","Less_150m","Y","N","Y","Y","Y","Dry","Artificial_not_enough","Clear","N","Not_needed","Collision","Light","N","N","N","N","N"
"Mar",2006,6,"Pre_holiday",3,2,2,"More_7m","More_375m","None","Y","N","Y","Y","Y","Mud_or_gravel","Daylight","Clear","N","Yes","Collision","Light","Y","N","Y","N","N"
"Mar",2006,1,"Post_holiday",3,2,2,"6m_to_7m","325m_to_375m","None","N","Y","N","Y","Y","Wet","Artificial_enough","Light_rain","Y","Yes","Collision","Light","Y","N","N","N","N"
